,AQI,CO,CO_8hr,County,Latitude,Longitude,NO,NO2,NOx,O3,O3_8hr,PM10,PM10_AVG,PM2.5,PM2.5_AVG,Pollutant,PublishTime,SO2,SO2_AVG,SiteId,SiteName,Status,WindDirec,WindSpeed
20,54,0.2,0.2,宜蘭縣,24.632203,121.792928,2.6,11.2,13.9,24.4,28,39,36,17,17,細懸浮微粒,2021/03/17 17:00:00,2.7,1,66,冬山,普通,126,1.9
21,44,0.24,0.2,宜蘭縣,24.747917,121.746394,1.9,3.3,5.3,32.9,36,32,26,15,14,,2021/03/17 17:00:00,1.3,2,65,宜蘭,良好,96,2.2
22,69,0.2,0.3,臺北市,25.182722,121.529583,3.5,1.2,4.7,37.8,44,21,33,15,23,細懸浮微粒,2021/03/17 17:00:00,2.2,2,64,陽明,普通,160,1.6
23,41,0.26,0.2,花蓮縣,23.971306,121.599769,1.7,5.5,7.2,29.6,32,28,24,15,13,,2021/03/17 17:00:00,1.4,1,63,花蓮,良好,303,2.1
24,27,0.3,0.3,臺東縣,22.755358,121.15045,1.4,6,7.4,24.9,29,22,24,7,8,,2021/03/17 17:00:00,1.7,1,62,臺東,良好,55,1.8
25,31,0.13,0.1,屏東縣,21.958069,120.788928,1.3,0.3,1.6,33.8,34,12,14,6,8,,2021/03/17 17:00:00,0.5,1,61,恆春,良好,15,3.9
26,56,0.25,0.3,屏東縣,22.673081,120.488033,1.8,11.9,13.7,39.8,48,39,47,13,17,細懸浮微粒,2021/03/17 17:00:00,3.6,3,59,屏東,普通,266,3.1
27,59,0.21,0.3,高雄市,22.565833,120.337736,3.3,16.9,20.1,25.5,41,18,38,12,19,細懸浮微粒,2021/03/17 17:00:00,1.9,2,58,小港,普通,294,2.7
28,62,0.41,0.4,高雄市,22.605386,120.307564,5.6,11.2,16.8,39.6,46,53,44,21,20,細懸浮微粒,2021/03/17 17:00:00,0.5,1,57,前鎮,普通,17,2.8
29,74,0.35,0.3,高雄市,22.632567,120.288086,3.7,9.4,13,54.7,56,43,44,24,25,細懸浮微粒,2021/03/17 17:00:00,1.7,2,56,前金,普通,11,2.6
30,70,0.31,0.3,高雄市,22.674861,120.292917,,,,47.4,,53,49,24,23,細懸浮微粒,2021/03/17 17:00:00,3.2,3,54,左營,普通,283,2.5
31,53,0.25,0.3,高雄市,22.733667,120.328289,5.1,12,17.1,30.3,41,26,34,12,17,細懸浮微粒,2021/03/17 17:00:00,2.9,2,53,楠梓,普通,287,3.3
